score	obb	entry	size	distinct_costs	ferrari	restoration
160	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/CarPricing.bin	3611002	6	True	False
130	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/IconsRewards.bin	113144	3	True	False
100	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/CarFusionData.bin	2419420	0	True	False
100	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/CarLiveriesMatrix.bin	11607	0	True	False
100	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/CarTuningData.bin	320153	0	True	False
100	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/LockinNamespaces.bin	1127391	0	True	False
100	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/OpponentGroups.bin	70782	0	True	False
90	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/CarMilestoneData.bin	249157	6	False	True
70	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/OpponentCarDatabase.bin	176429	7	False	False
60	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/SpecialLadderEvents.bin	2218228	3	False	True
50	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/EventLeaderboards.bin	42358	5	False	False
50	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/EventMilestoneRewards.bin	169456	5	False	False
50	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/DailyLoginRewardDefinitions.bin	19407	2	False	True
20	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/CrewLeaderboardRewardDefinitions.bin	58596	2	False	False
20	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/CrewMilestoneDefinitions.bin	804	2	False	False
20	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/ECBRewards.bin	34726	2	False	False
10	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/CarCustomizationParameters.bin	389	1	False	False
10	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/CarDeliveryAdRewards.bin	32	1	False	False
10	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/CrewWildcardDefinitions.bin	768	1	False	False
10	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/CupInvitationalRaceSeries.bin	1236980	1	False	False
10	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/PartDeliveryAdRewards.bin	33	1	False	False
10	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/RespectRankData.bin	2064	1	False	False
10	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/RestorationAdRewards.bin	32	1	False	False
10	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/SMPBettingConfiguration.bin	96	1	False	False
10	patch.6705213.com.naturalmotion.customstreetracer2.obb	assets/BinMetadata/SMPRP.bin	404	1	False	False
